,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [2], [0, 3], [3, 1], [1, 1], [0, 0, 3, 2, 2, 3, 1], [1, 0, 1, 0, 0], [0, 0, 0, 0]]",0.2591650839114554,"[1, 1, 1, 2, 2, 4, 5, 3]",7,(Constant+((x[0]+Constant)/(x[0]*x[0]))**Constant),(0.9497832839135237+((x[0]+0.1687019796700876)/(x[0]*x[0]))**0.225621688489689),[0.94978328 0.16870198 0.22562169],0.24383703460037046,"{'fitness 25': 0.24730219139580017, 'fitness 53': 0.2591650839114554, 'fitness 74': 0.24220105191853336, 'fitness 102': 0.24200786048677783}",False
1,"[[0], [2], [0], [3, 1], [0, 1], [0, 3, 1, 1], [1, 1, 0, 1, 0], [0, 0, 0, 0]]",0.2836264405206929,"[1, 1, 1, 2, 2, 4, 5, 2]",7,(Constant+(Constant/x[0]-(Constant-x[0]))**Constant),(0.689055353608095+(0.9158482766053965/x[0]-(0.5737265164511184-x[0]))**0.492834216558813),[0.68905535 0.91584828 0.57372652 0.49283422],0.25464363567026,"{'fitness 25': 0.22210302134542056, 'fitness 53': 0.2836264405206929, 'fitness 74': 0.27407356458179016, 'fitness 102': 0.2677543210835693}",False
2,"[[0], [1], [0, 3], [3, 2], [1, 1], [0, 0, 3, 2, 2, 3, 1], [1, 0, 1, 0, 0], [0, 0, 1, 1]]",0.28800610525419473,"[1, 1, 2, 2, 1, 3, 4, 2]",7,(Constant+((x[0]+Constant)**Constant)/x[0]),(0.5587127117435289+((x[0]+0.695929638568045)**0.06918833464731555)/x[0]),[0.55871271 0.69592964 0.06918833],0.2835489138272775,"{'fitness 25': 0.28207978575458964, 'fitness 53': 0.28800610525419473, 'fitness 74': 0.2793054275478015, 'fitness 102': 0.28926152817944123}",False
3,"[[0], [0], [2, 2], [2, 1, 1, 2], [0, 0, 0, 0], [3, 0, 2, 3, 2, 1, 3], [1, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0]]",0.29830583130843497,"[1, 1, 2, 2, 3, 5, 6, 4]",7,((Constant/x[0]**Constant)**Constant)+((Constant*x[0]/x[0]*x[0])**Constant),((0.9653418365384278/x[0]**0.7603347179416543)**0.3141255044860223)+((0.9714979339887923*x[0]/x[0]*x[0])**0.11806625738133958),[0.96534184 0.76033472 0.3141255  0.97149793 0.11806626],0.27756609734043874,"{'fitness 25': 0.2697355877288666, 'fitness 53': 0.29830583130843497, 'fitness 74': 0.2821635932310793, 'fitness 102': 0.2807991110613703}",False
4,"[[0], [0], [2, 0], [0, 0, 3], [2, 2, 2, 1], [3, 0, 2, 3, 2, 1, 3], [1, 0, 0, 0, 0, 1], [0, 0, 1, 1]]",0.303434001416759,"[1, 1, 2, 3, 4, 5, 6, 4]",7,(Constant/x[0]**Constant)+x[0]*(x[1]/x[1])*Constant,(0.9872805562055947/x[0]**0.6607983106894704)+x[0]*(x[1]/x[1])*0.7203748785840063,[0.98728056 0.66079831 0.72037488],0.26995568151059923,"{'fitness 25': 0.21357170644387236, 'fitness 53': 0.303434001416759, 'fitness 74': 0.30296226976157753, 'fitness 102': 0.2933330683263477}",False
5,"[[0], [0], [2, 2], [2, 1, 1, 2], [0, 1, 1], [3, 0, 2, 3, 2, 1, 3], [1, 0, 1, 1, 1, 1], [1, 0, 1, 0]]",0.32296108799011364,"[1, 1, 2, 2, 3, 5, 6, 1]",7,((Constant/x[1]**Constant)**Constant)+(((Constant*Constant)/(Constant*Constant))**Constant),((0.7165691748174137/x[1]**0.21822475196898616)**0.7991017275723097)+(((0.23701413292007412*0.8285136634560947)/(0.3010215062604501*0.029562609241468252))**0.16487338799313522),"[0.71656917 0.21822475 0.79910173 0.23701413 0.82851366 0.30102151
 0.02956261 0.16487339]",0.2893794181878149,"{'fitness 25': 0.2501711208059297, 'fitness 53': 0.32296108799011364, 'fitness 74': 0.3103449119748977, 'fitness 102': 0.3076222217826173}",False
6,"[[0], [2], [0], [3, 1], [0, 1], [0, 0, 3, 2, 2, 3, 1], [1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1]]",0.32518810199066417,"[1, 1, 1, 2, 2, 4, 5, 4]",7,(Constant+(x[0]+x[0]/(x[0]*x[0]))**Constant),(0.7692029195351896+(x[0]+x[0]/(x[0]*x[0]))**0.3048476793839736),[0.76920292 0.30484768],0.3051645141985309,"{'fitness 25': 0.3014337364092432, 'fitness 53': 0.32518810199066417, 'fitness 74': 0.30800129411755517, 'fitness 102': 0.3060585120687945}",False
7,"[[0], [2], [0], [3, 1], [0, 1], [0, 3, 1, 1], [1, 0, 0, 0, 0], [0, 0, 0, 0]]",0.328834699083089,"[1, 1, 1, 2, 2, 4, 5, 4]",7,(Constant+(x[0]/x[0]-(x[0]-x[0]))**Constant),(0.9405507311275302+(x[0]/x[0]-(x[0]-x[0]))**0.1571426067956524),[0.94055073 0.15714261],0.3010846485895619,"{'fitness 25': 0.2758636454030402, 'fitness 53': 0.328834699083089, 'fitness 74': 0.31443626253848544, 'fitness 102': 0.31295403782716}",False
8,"[[0], [2], [0, 3], [3, 2], [0, 1], [0, 0, 3, 2, 2, 3, 1], [1, 1, 1, 0, 0], [0, 0, 0, 0]]",0.32981040938283523,"[1, 1, 1, 2, 1, 2, 3, 0]",6,(Constant+(Constant+Constant**Constant)**Constant),(0.8798249804016942+(0.8769925423877685+0.017086626496903845**0.24037206488001284)**0.29660252201670967),[0.87982498 0.87699254 0.01708663 0.24037206 0.29660252],0.3026308349293029,"{'fitness 25': 0.27923584857924755, 'fitness 53': 0.32981040938283523, 'fitness 74': 0.3150309128882225, 'fitness 102': 0.31362574332043863}",False
9,"[[0], [0], [2, 0], [0, 0, 3], [2, 2, 2, 1], [3, 0, 2, 3, 2, 1, 3], [1, 1, 0, 0, 0, 1], [0, 0, 1, 1]]",0.33590195167167125,"[1, 1, 2, 3, 4, 5, 6, 3]",7,(Constant/Constant**Constant)+x[0]*(x[0]/x[1])*Constant,(0.8567555363608087/0.462706990643017**0.9850644595163985)+x[0]*(x[0]/x[1])*0.49528662320055916,[0.85675554 0.46270699 0.98506446 0.49528662],0.30219354517099983,"{'fitness 25': 0.2545727240147751, 'fitness 53': 0.33590195167167125, 'fitness 74': 0.3271801311584515, 'fitness 102': 0.32482778033977283}",False
