,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [2], [1], [0, 0], [0, 0, 1, 0], [2, 2, 0, 0, 3, 0, 0], [1, 0, 0, 1, 1, 1, 0, 0], [0, 0, 0, 0]]",0.4323978895986278,7,((Constant*x[0]*x[0]+Constant+(Constant/Constant)+x[0]+x[0])**Constant),"[1, 1, 1, 2, 4, 7, 8, 4]",((0.6751107188212236*x[0]*x[0]+0.8212660724641866+(0.952043862345536/0.01194043972388803)+x[0]+x[0])**0.10950930674228954),[0.67511072 0.82126607 0.95204386 0.01194044 0.10950931],0.4007446023815653,"{'fitness 25': 0.33221101274129244, 'fitness 53': 0.43461083780407256, 'fitness 74': 0.4354119565993309, 'fitness 102': 0.4323978895986278}",False
1,"[[0], [1], [2, 2], [2, 3], [1], [2, 0], [0, 0, 1], [1, 1]]",0.45600373941916017,7,((((x[1]*x[1])**Constant)**Constant)+(Constant**Constant)),"[1, 1, 2, 2, 1, 2, 3, 2]",((((x[1]*x[1])**0.02454156192891177)**0.7874519707946313)+(0.7650425467434235**0.4845369011380666)),[0.02454156 0.78745197 0.76504255 0.4845369 ],0.474121268344552,"{'fitness 25': 0.4888357942167138, 'fitness 53': 0.47682089305857056, 'fitness 74': 0.45670711775837153, 'fitness 102': 0.45600373941916017}",False
2,"[[0], [2], [0], [3, 1], [1, 2], [0, 3, 1], [1, 1, 1, 1], []]",0.5742650865479711,6,(Constant+((Constant/Constant)-Constant)**Constant),"[1, 1, 1, 2, 2, 3, 4, 0]",(0.4530241815898962+((0.913313711277314/0.6970067150081805)-0.3895956087231688)**0.18397008142971594),[0.45302418 0.91331371 0.69700672 0.38959561 0.18397008],0.5399877753104261,"{'fitness 25': 0.47083270243303266, 'fitness 53': 0.5716547694879042, 'fitness 74': 0.5774758540103415, 'fitness 102': 0.5742650865479711}",False
3,"[[0], [2], [1], [0, 1], [2, 2, 2, 1], [0, 2, 3, 3], [1, 1, 1, 1, 0], [0]]",0.6805630255015143,7,((Constant+Constant*(Constant/(Constant/x[0])))**Constant),"[1, 1, 1, 2, 4, 4, 5, 1]",((0.8137971145573359+0.681326997634402*(0.6302304029692902/(0.35036030947319463/x[0])))**0.49189951844572233),[0.81379711 0.681327   0.6302304  0.35036031 0.49189952],0.6444872415569906,"{'fitness 25': 0.5764298017023368, 'fitness 53': 0.6797754031770803, 'fitness 74': 0.6772565197915548, 'fitness 102': 0.6805630255015143}",False
4,"[[0], [0], [0, 3], [3, 2], [1], [0, 2, 0], [1, 1, 1, 1], []]",0.7743832526049075,6,Constant+((Constant*Constant)**Constant)+Constant,"[1, 1, 2, 2, 1, 3, 4, 0]",0.3869301462337813+((0.4638300069560509*0.28201680315409283)**0.8777589065604671)+0.6565959376838798,[0.38693015 0.46383001 0.2820168  0.87775891 0.65659594],0.7396558166022115,"{'fitness 25': 0.6728059288712438, 'fitness 53': 0.7685910348268593, 'fitness 74': 0.7775704861085311, 'fitness 102': 0.7743832526049075}",False
5,"[[0], [2], [2], [2], [0], [0], [0, 1], [0]]",0.8909960909515835,7,(((x[0]+Constant**Constant)**Constant)**Constant),"[1, 1, 1, 1, 1, 1, 2, 1]",(((x[0]+0.5379917331568079**0.5459495927358016)**0.5247901615924245)**0.3622294818001378),[0.53799173 0.54594959 0.52479016 0.36222948],0.8552851248429995,"{'fitness 25': 0.7891069906691487, 'fitness 53': 0.8846481911979052, 'fitness 74': 0.8921001926619444, 'fitness 102': 0.8909960909515835}",False
6,"[[0], [0], [2, 3], [3], [], [3], [1, 1], []]",0.9217188144063877,5,(Constant**Constant)/Constant,"[1, 1, 2, 1, 0, 1, 2, 0]",(0.7790868945230238**0.6871686209788267)/0.8002124245506758,[0.77908689 0.68716862 0.80021242],0.8870843059458019,"{'fitness 25': 0.8217957738247716, 'fitness 53': 0.9145866804846157, 'fitness 74': 0.9248704635280185, 'fitness 102': 0.9217188144063877}",False
7,"[[0], [2], [1], [2, 1], [1, 1, 2], [3, 0, 2, 0], [1, 0, 0, 0, 0], [0, 0, 0, 0]]",0.9297567156083494,7,((((Constant/x[0])**Constant)+((x[0]*x[0])+x[0]))**Constant),"[1, 1, 1, 2, 3, 4, 5, 4]",((((0.41985243643122927/x[0])**0.750643525176928)+((x[0]*x[0])+x[0]))**0.053144294142658866),[0.41985244 0.75064353 0.05314429],0.8947807462876716,"{'fitness 25': 0.8293334155073155, 'fitness 53': 0.9227474717275532, 'fitness 74': 0.9322613516281463, 'fitness 102': 0.9297567156083494}",False
8,"[[0], [1], [1, 0], [3, 3, 0, 0], [1, 2, 1, 2], [3, 2, 0, 3, 3, 1, 3], [1, 1, 0, 0, 1, 0, 0, 1], [0, 1, 1, 0]]",0.9588415952319392,7,((Constant/Constant)*(x[0]+x[1])/Constant/(x[1]-x[0])/Constant),"[1, 1, 2, 4, 4, 7, 8, 4]",((0.17747363980948516/0.3269452951167403)*(x[0]+x[1])/0.6269874631893457/(x[1]-x[0])/0.8550652717269339),[0.17747364 0.3269453  0.62698746 0.85506527],0.9243281474328381,"{'fitness 25': 0.8594589483621042, 'fitness 53': 0.9515275545457194, 'fitness 74': 0.9619979393906911, 'fitness 102': 0.9588415952319392}",False
9,"[[0], [2], [2], [3], [], [], [1], []]",0.9751440942987327,5,((Constant**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 0]",((0.8883897148288487**0.4852383771183312)**0.06811922733225084),[0.88838971 0.48523838 0.06811923],0.9405648427086352,"{'fitness 25': 0.8757727194702318, 'fitness 53': 0.9676389088598754, 'fitness 74': 0.9782828997957982, 'fitness 102': 0.9751440942987327}",False
