,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [0], [0, 2], [2, 0, 0], [2, 1, 0, 1, 0], [1, 2, 3, 1, 1, 3, 0, 3], [0, 0, 1, 0, 1, 1, 1, 1, 0], [1, 1, 1, 0]]",2.992693931962589,7,(x[1]**Constant)-(x[1]*Constant)/x[1]-Constant-((Constant/Constant)+Constant/x[0]**Constant),"[1, 1, 2, 3, 5, 8, 9, 4]",(x[1]**0.23559225083373436)-(x[1]*0.7604078577458141)/x[1]-0.020138578288972586-((0.8233298105472255/0.686178903078211)+0.8305063445876846/x[0]**0.17989627476958403),"[0.23559225 0.76040786 0.02013858 0.82332981 0.6861789  0.83050634
 0.17989627]",2.831338913668947,"{'fitness 25': 2.1850647629821034, 'fitness 53': 2.992693931962589, 'fitness 74': 3.026535422607595, 'fitness 102': 3.2824165554171407}",False
1,"[[0], [2], [2], [3], [], [], [0], [1]]",3.1773790379839055,6,((x[1]**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 1]",((x[1]**0.9048854304249768)**0.11862805530276033),[0.90488543 0.11862806],2.997916091833796,"{'fitness 25': 2.3511136314657426, 'fitness 53': 3.1773790379839055, 'fitness 74': 3.183609534037026, 'fitness 102': 3.4590251099986205}",False
2,"[[0], [1], [0, 2], [0, 0, 0], [2, 0, 1, 1, 0, 2], [3, 1, 0, 1, 1, 3, 3, 1, 3], [1, 0, 1, 1, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1, 0]]",3.379678741084141,7,(Constant/x[0]-Constant+(Constant-Constant)-(Constant/x[1])/(x[1]-x[1]/x[0]**Constant)),"[1, 1, 2, 3, 6, 9, 10, 5]",(0.9480391938939028/x[0]-0.01800855912538568+(0.9405575531178754-0.4562315728749706)-(0.11444425789092816/x[1])/(x[1]-x[1]/x[0]**0.9609560373756283)),[0.94803919 0.01800856 0.94055755 0.45623157 0.11444426 0.96095604],3.2408471089449606,"{'fitness 25': 2.6530216442446015, 'fitness 53': 3.379678741084141, 'fitness 74': 3.420177679672575, 'fitness 102': 3.649342002917705}",False
3,"[[0], [2], [0], [2, 0], [0, 1, 2], [3, 2, 2, 0], [1, 1, 1, 1, 0], [0]]",3.5901662314549054,7,((Constant/Constant**Constant)*(Constant*Constant)+x[0]**Constant),"[1, 1, 1, 2, 3, 4, 5, 1]",((0.4371999659580248/0.054309500909853314**0.7101610595541236)*(0.32999876052434163*0.7986416971998244)+x[0]**0.6828905725803874),[0.43719997 0.0543095  0.71016106 0.32999876 0.7986417  0.68289057],3.4169108982341765,"{'fitness 25': 2.8107227006252073, 'fitness 53': 3.5901662314549054, 'fitness 74': 3.5820781499690404, 'fitness 102': 3.8579318441082813}",False
4,"[[0], [0], [3, 3], [], [], [0], [1, 0], [0]]",3.705075023959026,5,Constant+x[0],"[1, 1, 2, 0, 0, 1, 2, 1]",0.8203044203791642+x[0],[0.82030442],3.533879846230852,"{'fitness 25': 2.9291122867209904, 'fitness 53': 3.705075023959026, 'fitness 74': 3.6970408753253254, 'fitness 102': 3.9754863766462396}",False
5,"[[0], [0], [2, 2], [2, 2], [2, 2], [3], [0, 0], [1, 0]]",4.01874094026261,7,((x[1]**Constant)**Constant)/((x[0]**Constant)**Constant),"[1, 1, 2, 2, 2, 1, 2, 2]",((x[1]**0.043129775476344)**0.12432853599758809)/((x[0]**0.16414652507467065)**0.9887329334772001),[0.04312978 0.12432854 0.16414653 0.98873293],3.870960016201593,"{'fitness 25': 3.2808871460920717, 'fitness 53': 4.01874094026261, 'fitness 74': 4.037060187863, 'fitness 102': 4.2949327146497085}",False
6,"[[0], [2], [2], [3], [], [], [0], [1]]",4.023716124214141,6,((x[1]**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 1]",((x[1]**0.3013443164136863)**0.040301381647691925),[0.30134432 0.04030138],3.8728851796938284,"{'fitness 25': 3.279124715854936, 'fitness 53': 4.023716124214141, 'fitness 74': 4.038427980700619, 'fitness 102': 4.30110284252593}",False
7,"[[0], [2], [3], [], [], [], [0], [1]]",4.024804951400533,5,(x[1]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[1]**0.011982964807433771),[0.01198296],3.874004469204267,"{'fitness 25': 3.280308293876702, 'fitness 53': 4.024804951400533, 'fitness 74': 4.039524626473158, 'fitness 102': 4.302180487262942}",False
8,"[[0], [1], [2, 0], [2, 3, 2], [1, 1], [0, 3, 0, 0], [0, 0, 0, 0, 1], [0, 0, 1, 1]]",4.040103885191939,7,((((x[0]+x[0])**Constant)**Constant)/x[1]+((x[1]+Constant)**Constant)),"[1, 1, 2, 3, 2, 4, 5, 4]",((((x[0]+x[0])**0.020787770337754807)**0.9525286123155862)/x[1]+((x[1]+0.4765726221139821)**0.009639320068879353)),[0.02078777 0.95252861 0.47657262 0.00963932],3.8897194857404216,"{'fitness 25': 3.297018003158777, 'fitness 53': 4.040103885191939, 'fitness 74': 4.054887666736969, 'fitness 102': 4.317252787325519}",False
9,"[[0], [3], [], [], [], [], [1], []]",4.102708876956833,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.9994984039423243,[0.9994984],3.9540493239960406,"{'fitness 25': 3.3648371612203203, 'fitness 53': 4.102708876956833, 'fitness 74': 4.117997675294122, 'fitness 102': 4.379313135473681}",False
10,"[[0], [2], [2], [1], [2, 2], [3], [1, 0], [0]]",4.1351840123636405,7,(((Constant/x[0])**Constant)**Constant),"[1, 1, 1, 1, 2, 1, 2, 1]",(((0.6127851285786194/x[0])**0.4195632997579043)**0.7873091486100706),[0.61278513 0.4195633  0.78730915],3.9933775546868464,"{'fitness 25': 3.410070910126431, 'fitness 53': 4.1351840123636405, 'fitness 74': 4.158693425381425, 'fitness 102': 4.411368328552683}",False
11,"[[0], [3], [], [], [], [], [1], []]",4.141415942746645,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.9508014710574186,[0.95080147],3.9938523626850926,"{'fitness 25': 3.4057804555179603, 'fitness 53': 4.141415942746645, 'fitness 74': 4.157419697427158, 'fitness 102': 4.418356935110159}",False
12,"[[0], [2], [3], [], [], [], [0], [0]]",4.190221708040422,5,(x[0]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[0]**0.3659721293451914),[0.36597213],4.038934256214444,"{'fitness 25': 3.4478200451367718, 'fitness 53': 4.190221708040422, 'fitness 74': 4.200380614286141, 'fitness 102': 4.468602109220417}",False
13,"[[0], [2], [3], [], [], [], [1], []]",4.199214861403397,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.35864832776536215**0.12625446172464616),[0.35864833 0.12625446],4.0532522586131625,"{'fitness 25': 3.466882746151697, 'fitness 53': 4.199214861403397, 'fitness 74': 4.2162531914612975, 'fitness 102': 4.476620838226491}",False
14,"[[0], [2], [2], [2], [2], [], [1], []]",4.201689862654278,6,(((Constant**Constant)**Constant)**Constant),"[1, 1, 1, 1, 1, 0, 1, 0]",(((0.732881334505042**0.8905556553679965)**0.8574593449612188)**0.5603461405063045),[0.73288133 0.89055566 0.85745934 0.56034614],4.055794879965807,"{'fitness 25': 3.4694982121907088, 'fitness 53': 4.201689862654278, 'fitness 74': 4.218771640202289, 'fitness 102': 4.479114787504424}",False
15,"[[0], [2], [3], [], [], [], [1], []]",4.2016936496771615,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.08666556215822341**0.05437343594816024),[0.08666556 0.05437344],4.055798770396623,"{'fitness 25': 3.4695022140768765, 'fitness 53': 4.2016936496771615, 'fitness 74': 4.218775493651936, 'fitness 102': 4.479118603461058}",False
16,"[[0], [3], [], [], [], [], [1], []]",4.209328429827445,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.8659846654494898,[0.86598467],4.063641663732279,"{'fitness 25': 3.4775697729342654, 'fitness 53': 4.209328429827445, 'fitness 74': 4.2265438666414985, 'fitness 102': 4.486811351621073}",False
17,"[[0], [1], [2, 3], [2], [2], [2], [1, 1], []]",4.215887117420124,6,(((Constant**Constant)**Constant)*Constant),"[1, 1, 2, 1, 1, 1, 2, 0]",(((0.36683242179395326**0.04545731152142751)**0.6141046445579682)*0.882188176888387),[0.36683242 0.04545731 0.61410464 0.88218818],4.070378556838763,"{'fitness 25': 3.4844996101295496, 'fitness 53': 4.215887117420124, 'fitness 74': 4.233216799752125, 'fitness 102': 4.4934192606346155}",False
18,"[[0], [2], [2], [3], [], [], [0], [0]]",4.2328156777506925,6,((x[0]**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 1]",((x[0]**0.8624636963584412)**0.6819325707536317),[0.8624637  0.68193257],4.080553546725581,"{'fitness 25': 3.488624744152151, 'fitness 53': 4.2328156777506925, 'fitness 74': 4.240792316810054, 'fitness 102': 4.512243579214539}",False
19,"[[0], [2], [3], [], [], [], [0], [0]]",4.2355415884412,5,(x[0]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[0]**0.6037353846334145),[0.60373538],4.083223445352147,"{'fitness 25': 3.4912445616631453, 'fitness 53': 4.2355415884412, 'fitness 74': 4.243384515993765, 'fitness 102': 4.515041258399534}",False
