,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [0], [2, 1], [0, 0, 1], [2, 2, 1, 0, 1, 2], [1, 3, 2, 2, 3, 3, 0, 0], [0, 1, 1, 0, 0, 1, 0, 1, 1], [1, 0, 1, 0]]",2.8710136905505346,7,(x[1]-Constant**Constant)/((Constant*x[0])*x[1]/Constant/((x[0]+Constant)+Constant)),"[1, 1, 2, 3, 6, 8, 9, 4]",(x[1]-0.40048716413222785**0.714848178465101)/((0.6803266720788544*x[0])*x[1]/0.8916568234811325/((x[0]+0.7042758706660278)+0.12067271020759052)),[0.40048716 0.71484818 0.68032667 0.89165682 0.70427587 0.12067271],2.368681233699216,"{'fitness 25': 1.8470741023697688, 'fitness 53': 2.6194754981625574, 'fitness 74': 2.639494100565322, 'fitness 102': 2.8710136905505346}",False
1,"[[0], [2], [2], [2], [0], [1], [0, 0], [1, 0]]",3.0689713792141493,7,(((x[1]-x[0]**Constant)**Constant)**Constant),"[1, 1, 1, 1, 1, 1, 2, 2]",(((x[1]-x[0]**0.46281937674355955)**0.23514655878531232)**0.6171859181683896),[0.46281938 0.23514656 0.61718592],2.527968128102426,"{'fitness 25': 1.9773657323458118, 'fitness 53': 2.8058427865008704, 'fitness 74': 2.8006958654605967, 'fitness 102': 3.0689713792141493}",False
2,"[[0], [0], [1, 0], [0, 3, 3, 1], [0, 0, 1, 2], [3, 3, 0, 0, 0, 3, 1, 3], [0, 0, 1, 0, 1, 1, 1, 0, 1], [0, 0, 0, 0]]",3.732643679911882,7,(x[0]/x[0]/Constant+x[0]+Constant)+Constant/((Constant-x[0])/Constant),"[1, 1, 2, 4, 4, 8, 9, 4]",(x[0]/x[0]/0.6940414430383497+x[0]+0.8592291797126131)+0.25629802395487145/((0.7594579179907395-x[0])/0.7420096963524363),[0.69404144 0.85922918 0.25629802 0.75945792 0.7420097 ],3.1937760923363085,"{'fitness 25': 2.4568640731236155, 'fitness 53': 3.583531248558811, 'fitness 74': 3.5409329553264994, 'fitness 102': 3.732643679911882}",False
3,"[[0], [0], [2, 1], [2, 0, 1], [1, 2, 1, 1, 1], [0, 0, 2, 0, 1, 0, 2, 2], [1, 1, 1, 1, 1, 1, 0, 1, 0], [0, 0]]",3.929732597356313,7,(((Constant+Constant)**Constant)**Constant)+(Constant*(Constant+Constant)-((Constant+x[0])*(Constant*x[0]))),"[1, 1, 2, 3, 5, 8, 9, 2]",(((0.11680029212125753+0.8569783503343181)**0.3731920003208298)**0.8271100954806179)+(0.531866225784974*(0.3603087342565975+0.7977789128485563)-((0.45016807218010657+x[0])*(0.028681869733094167*x[0]))),"[0.11680029 0.85697835 0.373192   0.8271101  0.53186623 0.36030873
 0.79777891 0.45016807 0.02868187]",3.406650883639936,"{'fitness 25': 2.895582946734611, 'fitness 53': 3.6590263549204702, 'fitness 74': 3.665343349264728, 'fitness 102': 3.929732597356313}",False
4,"[[0], [2], [1], [2, 1], [2, 2, 2], [0, 1], [0, 0, 0], [1, 1, 1]]",3.9500129477151886,7,(((x[1]**Constant)+(x[1]-x[1]))**Constant),"[1, 1, 1, 2, 3, 2, 3, 3]",(((x[1]**0.2884364772944471)+(x[1]-x[1]))**0.1996321235017593),[0.28843648 0.19963212],3.413674299141727,"{'fitness 25': 2.8909878180077087, 'fitness 53': 3.668987930363368, 'fitness 74': 3.6810471490541037, 'fitness 102': 3.9500129477151886}",False
5,"[[0], [1], [2, 1], [2, 2, 2], [1, 2, 2], [2, 1, 1], [1, 0, 1, 1], [1]]",4.2391903825684185,7,((((Constant*x[1])**Constant)**Constant)-((Constant**Constant)-(Constant**Constant))),"[1, 1, 2, 3, 3, 3, 4, 1]",((((0.591302778963429*x[1])**0.31913996914315645)**0.8337192027883475)-((0.7864512637903742**0.3476275848498175)-(0.8095572053227685**0.12431410862117664))),"[0.59130278 0.31913997 0.8337192  0.78645126 0.34762758 0.80955721
 0.12431411]",4.337748482347535,"{'fitness 25': 4.380713026978338, 'fitness 53': 4.368082724385105, 'fitness 74': 4.2644496956791595, 'fitness 102': 4.2391903825684185}",False
6,"[[0], [1], [3, 1], [1, 3], [0, 1], [3, 0, 3, 0, 3], [1, 0, 0, 1, 1, 0], [0, 1, 1]]",4.315388352314643,7,(Constant/((x[0]+x[1]/(Constant+Constant))/x[1])),"[1, 1, 2, 2, 2, 5, 6, 3]",(0.9243786080614074/((x[0]+x[1]/(0.6652181032940458+0.5033845180553046))/x[1])),[0.92437861 0.6652181  0.50338452],3.796837476538121,"{'fitness 25': 3.297719855909865, 'fitness 53': 4.039337648659916, 'fitness 74': 4.053454925044583, 'fitness 102': 4.315388352314643}",False
7,"[[0], [0], [2, 1], [2, 3, 3], [1], [0, 0, 1], [1, 1, 1, 1], []]",4.375408858836439,6,(((Constant+Constant)**Constant)**Constant)+(Constant-Constant),"[1, 1, 2, 3, 1, 3, 4, 0]",(((0.6157008229749497+0.7095338670028135)**0.011497890548115786)**0.13932398483743424)+(0.1350403631109507-0.1311102656363834),[0.61570082 0.70953387 0.01149789 0.13932398 0.13504036 0.13111027],3.857879447631472,"{'fitness 25': 3.360743150733721, 'fitness 53': 4.09883943776905, 'fitness 74': 4.114055754391644, 'fitness 102': 4.375408858836439}",False
8,"[[0], [2], [2], [2], [2], [], [0], [0]]",4.383833140979563,7,(((x[0]**Constant)**Constant)**Constant),"[1, 1, 1, 1, 1, 0, 1, 1]",(((x[0]**0.1536135241270492)**0.7623358625226729)**0.15118342547287822),[0.15361352 0.76233586 0.15118343],3.866081387485076,"{'fitness 25': 3.36897451006221, 'fitness 53': 4.107146281062512, 'fitness 74': 4.122123371330504, 'fitness 102': 4.383833140979563}",False
9,"[[0], [2], [2], [0], [2, 0], [2, 0], [1, 1, 1], []]",4.3908575488559745,6,((Constant*Constant+Constant**Constant)**Constant),"[1, 1, 1, 1, 2, 2, 3, 0]",((0.09327407135676369*0.1741026159068757+0.3384939271812336**0.6745379348758299)**0.02155873626658844),[0.09327407 0.17410262 0.33849393 0.67453793 0.02155874],3.8735826583263706,"{'fitness 25': 3.376942845476132, 'fitness 53': 4.114151536429709, 'fitness 74': 4.1296535930732725, 'fitness 102': 4.3908575488559745}",False
10,"[[0], [2], [1], [3, 0], [1, 0], [3, 3, 2, 2], [0, 1, 0, 0, 1], [0, 0, 0]]",4.399913843336053,7,((x[0]/(Constant/x[0])*x[0]*Constant)**Constant),"[1, 1, 1, 2, 2, 4, 5, 3]",((x[0]/(0.41829688280023336/x[0])*x[0]*0.7592715897922738)**0.06330790647254503),[0.41829688 0.75927159 0.06330791],3.8790825415843795,"{'fitness 25': 3.3803003697198957, 'fitness 53': 4.1226437015510875, 'fitness 74': 4.134303553482154, 'fitness 102': 4.399913843336053}",False
11,"[[0], [2], [1], [1, 3], [2, 2], [1, 1], [1, 1, 1], []]",4.433009649646453,6,(((Constant-Constant)-Constant)**Constant),"[1, 1, 1, 2, 2, 2, 3, 0]",(((0.7965968462315957-0.06081335542092414)-0.45353890027235566)**0.05517278595575059),[0.79659685 0.06081336 0.4535389  0.05517279],3.9164364902308093,"{'fitness 25': 3.421146750365481, 'fitness 53': 4.155947600100048, 'fitness 74': 4.172215120226899, 'fitness 102': 4.433009649646453}",False
12,"[[0], [1], [2, 1], [3, 1, 1], [1, 2, 1, 0], [3, 3, 0, 3, 0, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0], [0, 0, 0]]",4.442057648585414,7,((Constant**Constant)/(((x[0]/Constant)+Constant)/((Constant+x[0])+Constant+x[0]))),"[1, 1, 2, 3, 4, 7, 8, 3]",((0.9512764000768743**0.16123085039882612)/(((x[0]/0.3448417156872323)+0.6856058644801707)/((0.776975871738451+x[0])+0.3351745580756246+x[0]))),[0.9512764  0.16123085 0.34484172 0.68560586 0.77697587 0.33517456],3.9293306297352175,"{'fitness 25': 3.436869490918926, 'fitness 53': 4.165236111503829, 'fitness 74': 4.185886286782896, 'fitness 102': 4.442057648585414}",False
