,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [1], [2, 1], [0, 1, 3], [2, 2, 1, 0], [0, 2, 0, 3, 3, 0, 0], [1, 0, 1, 1, 0, 1, 1, 1, 1], [0, 0]]",1.2743352918183417,"[1, 1, 2, 3, 4, 6, 7, 2]",7,((Constant+x[0]**Constant)*(((Constant+Constant)/x[0]/Constant)+Constant)),((0.05420279877800749+x[0]**0.09203297178952818)*(((0.6429331599820202+0.14834122430900987)/x[0]/0.2173589278845035)+0.14799362909408142)),[0.0542028  0.09203297 0.64293316 0.14834122 0.21735893 0.14799363],1.1550262902135426,"{'fitness 25': 1.0715316267625064, 'fitness 53': 1.2678538683227702, 'fitness 74': 1.1256933755553513, 'fitness 102': 1.2743352918183417}",False
1,"[[0], [0], [2, 1], [2, 0, 1], [1, 1, 0, 0, 1], [3, 3, 0, 2, 3, 2, 2, 0, 2], [0, 0, 0, 1, 1, 1, 0, 1, 0, 1], [0, 0, 0, 0, 0]]",1.42679090702795,"[1, 1, 2, 3, 5, 9, 10, 5]",7,(((x[0]/x[0])**Constant)**Constant)/((x[0]+Constant)*Constant/Constant*(x[0]*Constant+(x[0]*Constant))),(((x[0]/x[0])**0.3063508911686653)**0.3253439946662131)/((x[0]+0.6421781577349387)*0.38536267251884804/0.8457716230190917*(x[0]*0.2971953710263818+(x[0]*0.07339323749913085))),"[0.30635089 0.32534399 0.64217816 0.38536267 0.84577162 0.29719537
 0.07339324]",1.6539911490825798,"{'fitness 25': 2.0397060458650813, 'fitness 53': 1.6952483386182913, 'fitness 74': 1.2270190627643673, 'fitness 102': 1.42679090702795}",False
2,"[[0], [0], [2, 1], [2, 0, 1], [1, 1, 0, 0, 0], [3, 3, 0, 2, 3, 2, 2, 0, 2], [0, 0, 0, 1, 1, 1, 0, 1, 0, 1], [0, 0, 0, 0, 0]]",1.460605671306426,"[1, 1, 2, 3, 5, 9, 10, 5]",7,(((x[0]/x[0])**Constant)**Constant)/((x[0]+Constant)*Constant/Constant*(x[0]*Constant+x[0]*Constant)),(((x[0]/x[0])**0.6424726814398224)**0.4668191149129606)/((x[0]+0.3709100856047749)*0.06165370896347533/0.3131776620281458*(x[0]*0.20560178128231643+x[0]*0.9317237029787607)),"[0.64247268 0.46681911 0.37091009 0.06165371 0.31317766 0.20560178
 0.9317237 ]",1.6484708659179148,"{'fitness 25': 2.014561932652071, 'fitness 53': 1.7138534857694652, 'fitness 74': 1.2169971793322087, 'fitness 102': 1.460605671306426}",False
3,"[[0], [0], [2, 1], [2, 0, 1], [1, 0, 2, 0, 1], [3, 3, 0, 0, 3, 3, 0, 0, 2], [0, 1, 1, 1, 0, 1, 0, 1, 1], [1, 0, 0, 0, 0]]",2.078647819005253,"[1, 1, 2, 3, 5, 8, 9, 3]",7,(((x[1]/Constant)**Constant)**Constant)/(Constant+Constant+x[0]/(Constant/x[0]+(Constant+Constant))),(((x[1]/0.05220327037286965)**0.2503146704550704)**0.9678231309347037)/(0.59511514980238+0.37637372098331756+x[0]/(0.06632313681631508/x[0]+(0.3449178888211052+0.08743091880618692))),"[0.05220327 0.25031467 0.96782313 0.59511515 0.37637372 0.06632314
 0.34491789 0.08743092]",1.9838101364447862,"{'fitness 25': 1.9553699630161925, 'fitness 53': 2.061156607376584, 'fitness 74': 1.9349038389415822, 'fitness 102': 2.078647819005253}",False
4,"[[0], [2], [0], [0, 0], [1, 2, 0, 2], [3, 3, 0, 0, 2, 3, 1, 3], [1, 0, 1, 1, 1, 0, 1, 0], [0, 0, 0, 1]]",2.1567723807976185,"[1, 1, 1, 2, 4, 5, 6, 2]",7,((Constant/x[0])/Constant+Constant+Constant*x[0]**Constant),((0.9319084327596049/x[0])/0.48368911225207045+0.42320042235320166+0.624414916333176*x[0]**0.12077303782237725),[0.93190843 0.48368911 0.42320042 0.62441492 0.12077304],1.6915461993556262,"{'fitness 25': 1.1870583858592714, 'fitness 53': 1.938803060275645, 'fitness 74': 1.9487771519319625, 'fitness 102': 2.1567723807976185}",False
5,"[[0], [1], [2, 3], [0, 0, 1], [1, 0, 0, 2, 0, 1], [3, 2, 0, 3, 0, 1, 3, 1, 1, 0], [0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0]]",2.2851743816727033,"[1, 1, 2, 1, 2, 4, 5, 2]",7,(((x[0]/Constant)*Constant+Constant**Constant)/x[0]),(((x[0]/0.2032359386970196)*0.5568790079067508+0.42473272415425034**0.04708832668389484)/x[0]),[0.20323594 0.55687901 0.42473272 0.04708833],1.8687786776166344,"{'fitness 25': 1.4232777900486953, 'fitness 53': 2.1109481359924063, 'fitness 74': 2.0721101068088017, 'fitness 102': 2.2851743816727033}",False
6,"[[0], [0], [1, 2], [2, 3, 3], [1, 1, 0, 0, 1], [3, 3, 0, 0, 0, 3, 1, 3], [1, 0, 1, 0, 1, 1, 0, 1, 0], [0, 0, 0, 0, 0]]",2.493907925910744,"[1, 1, 2, 3, 1, 3, 4, 2]",7,(((Constant/x[0])**Constant)/Constant)+(x[0]**Constant),(((0.9372038889774513/x[0])**0.17429738880219836)/0.2777856294881573)+(x[0]**0.2498475063061809),[0.93720389 0.17429739 0.27778563 0.24984751],2.191820788877586,"{'fitness 25': 1.8704532101561269, 'fitness 53': 2.3927917935556438, 'fitness 74': 2.3122173629209866, 'fitness 102': 2.493907925910744}",False
7,"[[0], [1], [2, 3], [2, 1, 1], [2, 1, 2], [3, 3, 0, 2, 3, 2, 3, 0, 2], [1, 1, 1, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0]]",2.6289379454674298,"[1, 1, 2, 1, 1, 1, 2, 0]",6,(((Constant**Constant)**Constant)/Constant),(((0.45313656054462137**0.10756091244105992)**0.9665370069905365)/0.20561118172511506),[0.45313656 0.10756091 0.96653701 0.20561118],2.2975825191797,"{'fitness 25': 1.9472022776460456, 'fitness 53': 2.5115613451893646, 'fitness 74': 2.4339839347036896, 'fitness 102': 2.6289379454674298}",False
8,"[[0], [1], [2, 3], [3, 1, 2], [0, 2], [3, 3, 0, 0, 0, 3, 1, 3], [1, 1, 0, 0], [0, 0, 0, 0]]",2.6296402469081923,"[1, 1, 2, 1, 0, 1, 2, 0]",5,((Constant**Constant)/Constant),((0.7950727079717219**0.9955086262067465)/0.17937014458313627),[0.79507271 0.99550863 0.17937014],2.291036871071294,"{'fitness 25': 1.9333541329145452, 'fitness 53': 2.5080872735439, 'fitness 74': 2.431669206755436, 'fitness 102': 2.6296402469081923}",False
9,"[[0], [2], [1], [1, 2, 2], [1, 2, 0, 2], [3, 3, 0, 0, 0, 3, 1, 3], [1, 1, 1, 1, 1, 0, 1, 0], [0, 0, 0, 1]]",2.6975516223217806,"[1, 1, 1, 2, 3, 4, 5, 0]",6,((((Constant/Constant)/Constant)+(Constant+Constant**Constant))**Constant),((((0.7612062301126914/0.2587689859986645)/0.38205838626583877)+(0.8167994154099802+0.10084882863710132**0.4428432941512962))**0.6229209846271188),"[0.76120623 0.25876899 0.38205839 0.81679942 0.10084883 0.44284329
 0.62292098]",2.275638366250423,"{'fitness 25': 1.8342515837131173, 'fitness 53': 2.5262187116031343, 'fitness 74': 2.466444803435019, 'fitness 102': 2.6975516223217806}",False
10,"[[0], [0], [2, 1], [2, 0, 1], [2, 2, 1, 0, 1, 2], [3, 3, 0, 2, 3, 2, 3, 0, 2], [0, 1, 1, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0]]",2.7456156184020473,"[1, 1, 2, 3, 5, 7, 8, 3]",7,((x[0]**Constant)**Constant)/(Constant/(Constant+x[0])*(x[0]/Constant*(Constant/Constant))),((x[0]**0.5175624022662149)**0.07212592621825042)/(0.9845624738936068/(0.3078095013820292+x[0])*(x[0]/0.624685979102112*(0.27779825180840767/0.9966203118140481))),"[0.5175624  0.07212593 0.98456247 0.3078095  0.62468598 0.27779825
 0.99662031]",2.2509923813174715,"{'fitness 25': 1.734379061198333, 'fitness 53': 2.5156627733437182, 'fitness 74': 2.502935309410364, 'fitness 102': 2.7456156184020473}",False
11,"[[0], [1], [1, 2], [0, 2, 3], [1, 1, 1, 2], [3, 3, 0, 0, 0, 3, 1, 3], [1, 1, 1, 1, 1, 1, 0, 1, 0], [0, 0, 0, 0]]",2.7462364145973766,"[1, 1, 2, 3, 3, 6, 7, 1]",6,(((Constant/Constant)/(Constant+Constant)+((Constant+Constant)**Constant))/(x[0]**Constant)),(((0.6036587689822306/0.6990674087346043)/(0.04901429662271428+0.6363688897973696)+((0.1838389821441495+0.766374776274681)**0.8030073906636197))/(x[0]**0.802130001699342)),"[0.60365877 0.69906741 0.0490143  0.63636889 0.18383898 0.76637478
 0.80300739 0.80213   ]",2.257014278462187,"{'fitness 25': 1.7442672267729842, 'fitness 53': 2.4956475226952186, 'fitness 74': 2.531128085918358, 'fitness 102': 2.7462364145973766}",False
12,"[[0], [1], [2, 1], [3, 1, 3], [0, 2, 1, 1], [2, 3, 3, 0, 1, 3, 2], [0, 0, 1, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0]]",2.761800542604062,"[1, 1, 2, 3, 2, 4, 5, 3]",7,((x[0]**Constant)*((x[0]/Constant/x[0])+Constant)),((x[0]**0.01222947422830778)*((x[0]/0.228200646621754/x[0])+0.9034060963985269)),[0.01222947 0.22820065 0.9034061 ],2.570654199521244,"{'fitness 25': 2.3586161943758013, 'fitness 53': 2.7235824582771233, 'fitness 74': 2.6297639459108075, 'fitness 102': 2.761800542604062}",False
13,"[[0], [1], [2, 3], [0, 3, 3, 1], [0, 2], [3, 3, 0, 0, 0, 3, 1, 3], [1, 1, 0, 0], [0, 0, 0, 0]]",2.764548926164158,"[1, 1, 2, 1, 2, 3, 4, 2]",7,((Constant/Constant/x[0]**Constant)+x[0]),((0.9703954057254486/0.2914005353236695/x[0]**0.12017036320663022)+x[0]),[0.97039541 0.29140054 0.12017036],2.4081639544508406,"{'fitness 25': 2.0341358789414206, 'fitness 53': 2.6292272122397864, 'fitness 74': 2.5611287721713154, 'fitness 102': 2.764548926164158}",False
14,"[[0], [2], [2], [0], [0, 1, 0, 0], [0, 2, 3], [1, 1, 0, 0], [1, 0]]",2.8290084756167424,"[1, 1, 1, 1, 2, 3, 4, 2]",7,((Constant+Constant*(x[1]/x[0])**Constant)**Constant),((0.07645362467513916+0.8170569815324102*(x[1]/x[0])**0.2560249437977299)**0.6585763492736472),[0.07645362 0.81705698 0.25602494 0.65857635],2.2955740190766365,"{'fitness 25': 1.7477173479501917, 'fitness 53': 2.5691895981534474, 'fitness 74': 2.56981511112627, 'fitness 102': 2.8290084756167424}",False
15,"[[0], [1], [3, 0], [2, 3], [1], [3, 2, 3], [0, 1, 1, 0], [1, 1]]",2.8349574092865986,"[1, 1, 2, 2, 1, 3, 4, 2]",6,(x[1]/((Constant*Constant)**Constant)/x[1]),(x[1]/((0.5295060364430936*0.3707613237445361)**0.7590269981842123)/x[1]),[0.52950604 0.37076132 0.759027  ],2.36202626947408,"{'fitness 25': 1.87180605277345, 'fitness 53': 2.6293493647617554, 'fitness 74': 2.584923390887035, 'fitness 102': 2.8349574092865986}",False
16,"[[0], [1], [0, 3], [0, 2, 3], [2, 1, 1, 2], [3, 2, 0, 0, 0, 3, 1, 3], [0, 0, 1, 1, 1, 1], [1, 1]]",2.9390241359729545,"[1, 1, 2, 2, 3, 5, 6, 2]",7,(x[1]/(x[1]*Constant)+((Constant+Constant)**Constant)+Constant),(x[1]/(x[1]*0.8240693825493437)+((0.11285625388823461+0.8642994930765207)**0.7587888411561954)+0.9917241466765514),[0.82406938 0.11285625 0.86429949 0.75878884 0.99172415],2.4463806960178682,"{'fitness 25': 1.9391299467052792, 'fitness 53': 2.7180267004528877, 'fitness 74': 2.6819854408954376, 'fitness 102': 2.9390241359729545}",False
17,"[[0], [0], [1, 2], [1, 2, 2], [1, 2, 0, 2, 2], [3, 3, 0, 0, 0, 3, 1, 3], [1, 0, 1, 1, 0, 1, 1, 0], [0, 0, 0, 1]]",3.241455048164727,"[1, 1, 2, 3, 4, 5, 6, 2]",7,(((Constant/x[0])/Constant)+(Constant+x[0]**Constant))+((Constant**Constant)**Constant),(((0.2491490006564222/x[0])/0.7508009929057188)+(0.40851460524491645+x[0]**0.4336771166980872))+((0.5189996524375358**0.7528493657041686)**0.44143388274464757),"[0.249149   0.75080099 0.40851461 0.43367712 0.51899965 0.75284937
 0.44143388]",2.7249182592683017,"{'fitness 25': 2.202813123939233, 'fitness 53': 2.991013906543224, 'fitness 74': 2.9809277473224483, 'fitness 102': 3.241455048164727}",False
18,"[[0], [1], [2, 1], [3, 1, 3], [0, 2, 1, 1], [2, 3, 3, 0, 1, 3, 2], [0, 1, 1, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0]]",3.25125562764011,"[1, 1, 2, 3, 2, 4, 5, 2]",7,((x[0]**Constant)*((Constant/Constant/x[0])+Constant)),((x[0]**0.08519352997309948)*((0.6730329667669716/0.6662338305334964/x[0])+0.990166985967989)),[0.08519353 0.67303297 0.66623383 0.99016699],2.7432397290341783,"{'fitness 25': 2.2272180957824697, 'fitness 53': 2.989356658995094, 'fitness 74': 3.013144432324973, 'fitness 102': 3.25125562764011}",False
19,"[[0], [1], [2, 0], [0, 0, 0], [2, 1, 1, 2, 2, 2], [0, 3, 0, 2, 3, 3, 1], [0, 1, 0, 1, 1, 1, 1, 0], [0, 0, 0]]",3.4529476189128196,"[1, 1, 2, 3, 6, 7, 8, 3]",7,((x[0]+(Constant/x[0])**Constant)+(Constant*Constant)/Constant/Constant-x[0]),((x[0]+(0.039989641946033494/x[0])**0.7062627521149896)+(0.5305805838571048*0.9059230856820152)/0.8998494517674059/0.25265591759002026-x[0]),[0.03998964 0.70626275 0.53058058 0.90592309 0.89984945 0.25265592],2.929564066723182,"{'fitness 25': 2.406577017230223, 'fitness 53': 3.194193566588579, 'fitness 74': 3.187921616350745, 'fitness 102': 3.4529476189128196}",False
20,"[[0], [0], [2, 0], [2, 3, 3], [2, 1, 1, 1, 2, 1], [0, 3, 1, 3, 0, 0, 0, 3, 3], [1, 1, 0, 1, 0, 1, 1, 1, 0, 1], [0, 0, 0, 0, 0]]",3.5808519617702332,"[1, 1, 2, 3, 1, 2, 3, 1]",6,((Constant**Constant)**Constant)+Constant/x[0],((0.8701003146510637**0.2836604501876635)**0.05011184337778474)+0.6609087121269418/x[0],[0.87010031 0.28366045 0.05011184 0.66090871],3.0716195132095243,"{'fitness 25': 2.5630552447536643, 'fitness 53': 3.3126453401628084, 'fitness 74': 3.339157954712099, 'fitness 102': 3.5808519617702332}",False
21,"[[0], [1], [2, 3], [3, 1, 2], [2, 1, 1, 0, 2], [3, 3, 0, 0, 0, 3, 1, 3], [0, 1, 0, 1, 1, 1, 1, 0], [0, 0, 0, 0]]",3.5912319705998557,"[1, 1, 2, 1, 0, 1, 2, 1]",6,((x[0]**Constant)/Constant),((x[0]**0.4419460333563541)/0.1725718328426582),[0.44194603 0.17257183],3.4018977769454537,"{'fitness 25': 3.185432272587849, 'fitness 53': 3.5516976761615386, 'fitness 74': 3.4685633820869732, 'fitness 102': 3.5912319705998557}",False
22,"[[0], [2], [2, 3], [2, 3, 3], [2, 1, 2], [0, 2, 3], [0, 0, 0, 1, 1, 1], [1, 0, 1, 1]]",3.754505400374109,"[1, 1, 1, 1, 1, 0, 1, 1]",7,(((x[1]**Constant)**Constant)**Constant),(((x[1]**0.2880794414506199)**0.8740772794352701)**0.31213484363504485),[0.28807944 0.87407728 0.31213484],3.2094840253497363,"{'fitness 25': 2.674076364825175, 'fitness 53': 3.4720713926152356, 'fitness 74': 3.4823043186087985, 'fitness 102': 3.754505400374109}",False
