,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [3], [2, 3], [2, 1], [0, 2, 3], [1, 1, 0, 1, 0], [0, 0]]",5.208087405136734,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.6986927844124823 * (x[1]**0.5939954787434959) * (x[2]),[0.69869278 0.59399548],4.932005760800532,"{'fitness 25': 5.133474380293871, 'fitness 53': 5.208087405136734, 'fitness 74': 4.57026745734455, 'fitness 102': 5.092275444763175}",False
1,"[[0], [3], [3, 0], [0, 0, 2, 1], [0, 0, 2, 0, 1], [1, 1, 1, 1, 1], [0]]",5.267729620479706,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.5912896690725316 * (x[1]**0.6110977348108495) * (x[2]),[0.59128967 0.61109773],4.945431758455862,"{'fitness 25': 5.017978649210238, 'fitness 53': 5.267729620479706, 'fitness 74': 4.512979872544103, 'fitness 102': 5.305336753613246}",False
2,"[[0], [3], [], [2, 1], [2, 2], [1, 0, 0], [0, 0]]",5.52249629633078,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.9166510066901469 * (x[1]**0.562014213303932) * (x[2]),[0.91665101 0.56201421],5.263924412477189,"{'fitness 25': 5.569018148730572, 'fitness 53': 5.52249629633078, 'fitness 74': 4.883182683489894, 'fitness 102': 5.339572405211099}",False
3,"[[0], [2], [2], [0, 0, 2, 1], [2, 1], [1, 1, 1, 1, 1], []]",5.778086128860641,"[1, 1, 1, 1, 1, 2, 0]",5,((Constant*Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.7329339967309713*0.06849038857161449**0.23063163977852252)**0.14586641045713122) * (x[1]**0.5705300431433462) * (x[2]),[0.732934   0.06849039 0.23063164 0.14586641 0.57053004],5.576240630905027,"{'fitness 25': 5.904740503551909, 'fitness 53': 5.778086128860641, 'fitness 74': 5.323178660981207, 'fitness 102': 5.500802728181966}",False
4,"[[0], [3], [], [], [], [1], [0]]",5.8018934458326425,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.4824537370465719 * (x[1]**0.6324752823486827) * (x[2]),[0.48245374 0.63247528],5.465155592595448,"{'fitness 25': 5.402832266786471, 'fitness 53': 5.8018934458326425, 'fitness 74': 5.017275031981585, 'fitness 102': 5.9753594790182865}",False
5,"[[0], [2], [2], [2, 2], [0, 2], [1, 1, 0], []]",5.9710726296676455,"[1, 1, 1, 1, 0, 1, 0]",5,((Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.07925753791156376**0.8248586703668721)**0.28996357524616245) * (x[1]**0.62853929737569) * (x[2]),[0.07925754 0.82485867 0.28996358 0.6285393 ],5.791853682180398,"{'fitness 25': 6.123781207439987, 'fitness 53': 5.9710726296676455, 'fitness 74': 5.668832768125684, 'fitness 102': 5.58294707097552}",False
6,"[[0], [3], [], [2, 1], [2, 2], [1, 0, 0], []]",6.003718759982763,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.2843733605837502 * (x[1]**0.6982187506405406) * (x[2]),[0.28437336 0.69821875],5.733367636539494,"{'fitness 25': 5.5092963663544845, 'fitness 53': 6.003718759982763, 'fitness 74': 5.513523445229422, 'fitness 102': 6.177283098034574}",False
7,"[[0], [3], [3, 3], [], [], [1], []]",6.275421863710737,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.6028660681998645 * (x[1]**0.6039636947305043) * (x[2]),[0.60286607 0.60396369],5.921430588820215,"{'fitness 25': 6.01192764993858, 'fitness 53': 6.275421863710737, 'fitness 74': 5.372687653968477, 'fitness 102': 6.379676462553587}",False
8,"[[0], [3], [], [2, 1], [0], [1], [0, 0]]",6.51657745211774,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.9561308568636335 * (x[1]**0.5622614391317202) * (x[2]),[0.95613086 0.56226144],6.3684172524844564,"{'fitness 25': 6.755405582474616, 'fitness 53': 6.51657745211774, 'fitness 74': 6.206009943343763, 'fitness 102': 6.143836231634992}",False
9,"[[0], [3], [], [2, 1], [2, 2], [1, 0, 0], [0, 0]]",6.537767468596183,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.43317859233605305 * (x[1]**0.6573278876442262) * (x[2]),[0.43317859 0.65732789],6.37421374261906,"{'fitness 25': 6.774890336606139, 'fitness 53': 6.537767468596183, 'fitness 74': 6.312146713393669, 'fitness 102': 6.035604177857372}",False
