,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [3], [], [], [], [1], []]",5.835071605574944,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.41129347182303555 * (x[1]**0.6528263145185083) * (x[2]),[0.41129347 0.65282631],5.268924249250553,"{'fitness 25': 5.192269636103521, 'fitness 53': 5.648301933904928, 'fitness 74': 4.9662011777432085, 'fitness 102': 5.835071605574944}",False
1,"[[0], [3], [1, 0], [2, 1, 1, 0], [], [1], [0, 0, 0, 0]]",5.9811172436184945,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.8537336087038544 * (x[1]**0.5642748979744185) * (x[2]),[0.85373361 0.5642749 ],5.693763632702395,"{'fitness 25': 5.964683575301619, 'fitness 53': 6.029955814295704, 'fitness 74': 5.086651508509863, 'fitness 102': 5.9811172436184945}",False
2,"[[0], [3], [], [], [], [1], []]",6.499081004057214,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.30467632036382997 * (x[1]**0.6991671482236106) * (x[2]),[0.30467632 0.69916715],7.053265304228165,"{'fitness 25': 7.282034965990971, 'fitness 53': 7.04030761307529, 'fitness 74': 6.837453333618233, 'fitness 102': 6.499081004057214}",False
3,"[[0], [3], [], [1, 1, 2, 0], [3, 0, 0, 1], [1, 0, 0, 1], [0, 0, 0]]",6.735352234844378,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.3482592507362715 * (x[1]**0.6697228187568053) * (x[2]),[0.34825925 0.66972282],6.032905428934943,"{'fitness 25': 5.8971036535498715, 'fitness 53': 6.44617504770363, 'fitness 74': 5.755437585551331, 'fitness 102': 6.735352234844378}",False
4,"[[0], [3], [], [], [], [1], []]",6.851103156630578,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.5428487414177663 * (x[1]**0.6333954740412441) * (x[2]),[0.54284874 0.63339547],7.589003226709295,"{'fitness 25': 7.921298220438695, 'fitness 53': 7.499066284932827, 'fitness 74': 7.34664517475636, 'fitness 102': 6.851103156630578}",False
5,"[[0], [2], [3, 2], [2], [1, 2], [1, 1, 1], [0, 0]]",6.8557751863048475,4,(Constant**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 0, 0, 1, 0]",(0.3089303751459832**0.8722314018641224) * (x[1]**0.6818265819574352) * (x[2]),[0.30893038 0.8722314  0.68182658],7.614575611973826,"{'fitness 25': 7.935165483104343, 'fitness 53': 7.53615629554794, 'fitness 74': 7.372405057269194, 'fitness 102': 6.8557751863048475}",False
6,"[[0], [2], [2], [2], [3, 0, 0, 3, 0, 3], [1, 1, 1, 0], [0, 0, 0, 0, 0, 0]]",7.992034444072037,5,((Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 1, 0, 1, 0]",((0.7181456542167692**0.31842123752224494)**0.1885993706729544) * (x[1]**0.5647076377007225) * (x[2]),[0.71814565 0.31842124 0.18859937 0.56470764],8.669844876758754,"{'fitness 25': 9.001034014502343, 'fitness 53': 8.559005914664008, 'fitness 74': 8.449494701109913, 'fitness 102': 7.992034444072037}",False
7,"[[0], [1], [1, 0], [2, 1, 1, 0], [3, 0, 0, 3, 0, 3], [1, 0, 0, 1, 1, 0, 0], [0, 0, 0, 0, 0, 0]]",8.244456489759084,6,((Constant/(x[0]+x[0]))+(Constant/Constant)+x[0]/x[0]) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 6, 7, 4]",((0.5386770819951443/(x[0]+x[0]))+(0.15157528083098126/0.7859874327897174)+x[0]/x[0]) * (x[1]**0.4896862820250757) * (x[2]),[0.53867708 0.15157528 0.78598743 0.48968628],8.10226062359748,"{'fitness 25': 8.198803704021772, 'fitness 53': 8.268534188477103, 'fitness 74': 7.83944397829357, 'fitness 102': 8.244456489759084}",False
8,"[[0], [1], [1, 0], [2, 1, 1, 0], [3, 0, 0, 3, 0, 3], [0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",9.523394310736752,6,((x[0]/(Constant+x[0]))+(x[0]/x[0])+x[0]/x[0]) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 6, 7, 6]",((x[0]/(0.2525852960658108+x[0]))+(x[0]/x[0])+x[0]/x[0]) * (x[1]**0.41804137310894873) * (x[2]),[0.2525853  0.41804137],9.954682230230405,"{'fitness 25': 10.791687701405683, 'fitness 53': 10.15337278376685, 'fitness 74': 8.918986205518687, 'fitness 102': 9.523394310736752}",False
9,"[[0], [3], [], [], [], [1], []]",9.558254914520049,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.47004697758262715 * (x[1]**0.6245644792534636) * (x[2]),[0.47004698 0.62456448],9.086024859659279,"{'fitness 25': 9.251387594177988, 'fitness 53': 9.456327689883375, 'fitness 74': 8.550359294916476, 'fitness 102': 9.558254914520049}",False
